classe_dpe,usage,gain_pct,nb_logements
A,chauffage,-44.82999999999999,7
A,ecs,-9.60642857142857,7
A,eclairage,-6.404285714285713,7
A,autres,-3.2021428571428565,7
B,chauffage,282.7708333333333,12
B,ecs,60.59374999999999,12
B,eclairage,40.395833333333336,12
B,autres,20.197916666666668,12
C,chauffage,147.67504531722057,331
C,ecs,31.644652567975836,331
C,eclairage,21.096435045317225,331
C,autres,10.548217522658613,331
D,chauffage,156.12738617200674,593
D,ecs,33.455868465430015,593
D,eclairage,22.30391231028668,593
D,autres,11.15195615514334,593
E,chauffage,215.09226541554955,746
E,ecs,46.09119973190348,746
E,eclairage,30.727466487935654,746
E,autres,15.363733243967827,746
F,chauffage,288.5752815013404,373
F,ecs,61.8375603217158,373
F,eclairage,41.225040214477204,373
F,autres,20.612520107238602,373
G,chauffage,248.42884615384614,182
G,ecs,53.23475274725275,182
G,eclairage,35.48983516483516,182
G,autres,17.74491758241758,182
