,conso_reelle_par_m2,conso_reelle_par_m2,conso_reelle_par_m2,conso_reelle_par_m2,conso_reelle_par_m2,conso_reelle_par_m2,surface_med,surface_med,ecart_pct,ecart_pct,ecart_pct
,mean,median,std,min,max,count,mean,median,mean,median,std
classe_dpe_modale,,,,,,,,,,,
A,61.56,61.81,5.12,54.38,66.89,7,54.4,54.4,-64.04,-64.4,3.07
B,21.88,23.63,5.91,4.01,26.02,12,76.45,83.2,403.96,306.3,434.59
C,75.81,56.39,58.99,2.07,261.86,331,56.56,55.0,210.96,83.9,336.62
D,86.32,72.12,59.05,11.93,353.99,593,45.69,42.6,223.04,95.5,301.73
E,78.81,71.98,48.66,12.03,356.85,746,44.35,39.5,307.27,164.55,347.29
F,91.7,75.15,80.39,12.07,549.4,373,40.97,34.1,412.25,248.4,430.11
G,119.55,113.46,69.52,21.86,389.45,182,28.77,23.7,354.9,165.15,453.11
